id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_026	18	24	48.376559236	2.015689968	1	4	24	24	1.901064754	-1.901064754	480	478	0.995833333	24	15	0.625000000	478	186	0.389121339	478	6.224882226	5.827312150	4470	2980	0.666666667
case_027	17	24	46.050615693	1.918775654	0	0	24	24	1.865697396	-1.838823094	480	477	0.993750000	24	11	0.458333333	477	177	0.371069182	477	7.484068398	6.918750175	4434	3005	0.677717636
case_028	19	24	27.134117597	1.130588233	1	4	24	24	1.006701332	-1.006083462	480	479	0.997916667	24	15	0.625000000	479	180	0.375782881	479	6.033889748	5.643026485	4475	3198	0.714636872
case_029	20	24	44.786666504	1.866111104	0	0	24	24	1.614970364	-1.614595479	480	480	1.000000000	24	12	0.500000000	480	194	0.404166667	480	4.235265773	3.236235164	4495	3061	0.680978865
case_030	24	24	51.678361486	2.153265062	0	0	24	24	2.134705810	-2.134705810	480	480	1.000000000	24	11	0.458333333	480	113	0.235416667	480	7.638535970	7.315011278	4497	2866	0.637313765
case_031	24	24	41.990893251	1.749620552	0	0	24	24	1.681605962	-1.681605962	480	479	0.997916667	24	12	0.500000000	479	150	0.313152401	479	6.873810205	6.155491585	4479	2933	0.654833668
case_032	19	24	28.901095394	1.204212308	0	0	24	24	1.183007214	-1.183007214	480	479	0.997916667	24	18	0.750000000	479	196	0.409185804	479	7.791341290	7.546057405	4491	3107	0.691828101
case_033	17	24	34.968061927	1.457002580	1	1	24	24	1.360137164	-1.360137164	480	477	0.993750000	24	16	0.666666667	477	141	0.295597484	477	7.130723181	6.582423367	4442	2964	0.667266997
case_034	24	24	40.394196101	1.683091504	0	0	24	24	1.602498672	-1.602498672	480	479	0.997916667	24	18	0.750000000	479	146	0.304801670	479	5.326592102	4.491633518	4467	2939	0.657935975
case_035	25	26	54.107381940	2.081053152	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_036	22	24	57.520040209	2.396668342	0	0	24	24	2.380197409	-2.380197409	480	480	1.000000000	24	13	0.541666667	480	126	0.262500000	480	8.612875614	8.271652734	4493	2785	0.619853105
case_037	21	24	54.315313007	2.263138042	0	0	24	24	2.216400870	-2.216400870	480	479	0.997916667	24	13	0.541666667	479	142	0.296450939	479	6.209945588	5.621113124	4468	3025	0.677036705
case_038	27	24	101.907513729	4.246146405	0	0	24	24	4.153682548	-4.153682548	480	479	0.997916667	24	7	0.291666667	479	82	0.171189979	479	5.308064300	3.130366693	4476	2780	0.621090259
