id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_065	16	24	3.291758370	0.137156599	1	14	24	24	0.133223837	-0.098039509	480	479	0.997916667	24	22	0.916666667	479	352	0.734864301	479	2.141428019	1.242382930	4473	3590	0.802593338
case_066	18	24	10.715962727	0.446498447	1	4	24	24	0.370609786	-0.321031546	480	480	1.000000000	24	19	0.791666667	480	320	0.666666667	480	2.509438048	1.818481921	4495	3492	0.776863181
case_067	18	24	6.425841822	0.267743409	1	3	24	24	0.242329910	-0.154247578	480	480	1.000000000	24	21	0.875000000	480	336	0.700000000	480	2.291349487	1.476601806	4492	3463	0.770926091
case_068	21	24	8.899446890	0.370810287	1	15	24	24	0.349424166	-0.311106940	480	478	0.995833333	24	22	0.916666667	478	336	0.702928870	478	1.875841036	0.175465849	4451	3454	0.776005392
case_069	21	24	22.297903840	0.929079327	1	5	24	24	0.868180840	-0.850654062	480	478	0.995833333	24	19	0.791666667	478	326	0.682008368	478	2.705480535	2.252667545	4458	3459	0.775908479
case_070	27	24	10.377974479	0.432415603	1	5	24	24	0.405038447	-0.361051684	480	480	1.000000000	24	20	0.833333333	480	331	0.689583333	480	1.864486703	0.927907914	4494	3572	0.794837561
case_071	26	24	6.335031764	0.263959657	0	0	24	24	0.261873293	-0.177072443	480	479	0.997916667	24	21	0.875000000	479	313	0.653444676	479	2.294899360	0.861657162	4480	3486	0.778125000
case_072	19	24	11.002096464	0.458420686	1	8	24	24	0.401354457	-0.400984488	480	480	1.000000000	24	21	0.875000000	480	323	0.672916667	480	2.209719480	0.490769994	4482	3600	0.803212851
case_073	17	24	0.319248590	0.013302025	1	24	24	24	0.049663930	0.044159987	480	479	0.997916667	24	24	1.000000000	479	329	0.686847599	479	2.112939868	1.326529931	4470	3518	0.787024609
case_074	17	24	5.909506231	0.246229426	1	1	24	24	0.224529660	-0.177035102	480	479	0.997916667	24	22	0.916666667	479	335	0.699373695	479	2.292470107	1.309017811	4467	3511	0.785986120
case_075	16	24	7.309426868	0.304559453	1	8	24	24	0.297436509	-0.245550828	480	478	0.995833333	24	21	0.875000000	478	333	0.696652720	478	2.139939984	1.621874027	4457	3470	0.778550595
case_076	23	24	8.097576608	0.337399025	1	16	24	24	0.261499672	-0.259386481	480	478	0.995833333	24	22	0.916666667	478	324	0.677824268	478	2.267179349	1.596181346	4475	3435	0.767597765
case_077	26	24	10.936282596	0.455678442	1	11	24	24	0.386148380	-0.374063633	480	480	1.000000000	24	20	0.833333333	480	340	0.708333333	480	2.481413585	1.386474754	4489	3393	0.755847628
case_078	29	24	15.767758889	0.656989954	1	7	24	24	0.606973475	-0.556117445	480	479	0.997916667	24	19	0.791666667	479	303	0.632567850	479	2.626075051	1.351407523	4479	3248	0.725161866
case_079	21	24	11.927888596	0.496995358	1	10	24	24	0.437036893	-0.436483056	480	478	0.995833333	24	20	0.833333333	478	305	0.638075314	478	2.151895513	1.455975968	4458	3537	0.793405114
case_080	15	24	11.115735050	0.463155627	1	6	24	24	0.313891930	-0.283366283	480	480	1.000000000	24	18	0.750000000	480	350	0.729166667	480	1.790485888	0.832017376	4493	3541	0.788114845
