id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_049	21	24	3.900261789	0.162510908	1	22	24	24	0.170218259	-0.134723207	480	480	1.000000000	24	23	0.958333333	480	335	0.697916667	480	2.046312670	1.083325809	4498	3496	0.777234326	23
case_046	21	24	4.365191688	0.181882987	1	17	24	24	0.182185179	-0.137544613	480	479	0.997916667	24	22	0.916666667	479	330	0.688935282	479	2.318389294	1.297566910	4480	3489	0.778794643	22
case_006	20	24	0.898613925	0.037442247	1	24	24	24	0.040628252	-0.014962029	480	479	0.997916667	24	24	1.000000000	479	354	0.739039666	479	2.199923783	1.516645983	4477	3532	0.788921153	24
case_021	20	24	8.969164182	0.373715174	1	5	24	24	0.320495996	-0.293347808	480	480	1.000000000	24	22	0.916666667	480	333	0.693750000	480	2.589430698	1.993640876	4486	3541	0.789344628	22
case_003	21	24	10.313101976	0.429712582	1	3	24	24	0.406133088	-0.403358116	480	480	1.000000000	24	21	0.875000000	480	337	0.702083333	480	2.187848037	1.111247924	4501	3542	0.786936236	21
case_080	15	24	10.791508147	0.449646173	1	6	24	24	0.289026184	-0.269856828	480	480	1.000000000	24	19	0.791666667	480	346	0.720833333	480	1.890519329	0.851065467	4493	3518	0.782995771	19
case_015	23	24	17.833480231	0.743061676	1	2	24	24	0.734385113	-0.693841824	480	480	1.000000000	24	21	0.875000000	480	325	0.677083333	480	2.490198039	0.814975846	4486	3421	0.762594739	21
case_061	19	24	5.752813009	0.239700542	1	11	24	24	0.275507644	-0.192457600	480	480	1.000000000	24	23	0.958333333	480	353	0.735416667	480	2.356121635	1.145160053	4502	3597	0.798978232	23
case_089	15	24	13.521239793	0.563384991	0	0	24	24	0.555085141	-0.505349751	480	479	0.997916667	24	19	0.791666667	479	349	0.728601253	479	2.694189090	2.173851183	4470	3480	0.778523490	19
case_087	14	24	7.489973493	0.312082229	1	14	24	24	0.310444268	-0.306734848	480	480	1.000000000	24	22	0.916666667	480	357	0.743750000	480	2.863242807	2.602060054	4493	3517	0.782773203	22
case_047	18	24	14.120906114	0.588371088	1	4	24	24	0.469951401	-0.409411124	480	477	0.993750000	24	20	0.833333333	477	301	0.631027254	477	2.435547255	1.533696114	4419	3370	0.762615976	20
case_082	18	24	16.794222090	0.699759254	0	0	24	24	0.606719100	-0.588790847	480	479	0.997916667	24	17	0.708333333	479	316	0.659707724	479	1.990976506	1.060379226	4491	3428	0.763304387	17
case_024	17	24	13.138538510	0.547439105	1	12	24	24	0.408509003	-0.369519442	480	479	0.997916667	24	20	0.833333333	479	343	0.716075157	479	2.024051560	0.343605962	4459	3383	0.758690289	20
case_038	27	24	10.065688912	0.419403705	1	7	24	24	0.376504189	-0.326939847	480	479	0.997916667	24	21	0.875000000	479	293	0.611691023	479	2.286116919	0.806723232	4476	3278	0.732350313	21
case_098	22	9	0.174303714	0.019367079	1	9	9	9	0.019042047	-0.018636682	180	179	0.994444444	9	9	1.000000000	179	127	0.709497207	179	2.056174410	1.451664956	1667	1319	0.791241752	9
case_052	21	24	9.874033202	0.411418050	1	10	24	24	0.421797569	-0.257661327	480	477	0.993750000	24	23	0.958333333	477	313	0.656184486	477	2.367839135	0.825630176	4447	3353	0.753991455	23
case_017	29	24	12.869520556	0.536230023	1	8	24	24	0.490839702	-0.487746377	480	477	0.993750000	24	21	0.875000000	477	320	0.670859539	477	2.164882996	1.414422588	4437	3380	0.761775975	21
case_077	26	24	9.351735041	0.389655627	1	7	24	24	0.309077388	-0.308040818	480	480	1.000000000	24	20	0.833333333	480	344	0.716666667	480	2.420688844	1.590657485	4489	3444	0.767208732	20
case_083	21	24	7.737203594	0.322383483	1	13	24	24	0.228476090	-0.224883844	480	480	1.000000000	24	20	0.833333333	480	339	0.706250000	480	2.068700569	1.516735041	4470	3614	0.808501119	20
case_039	24	24	13.111255248	0.546302302	1	12	24	24	0.486239144	-0.442448606	480	480	1.000000000	24	20	0.833333333	480	301	0.627083333	480	1.966835824	0.397101279	4505	3291	0.730521643	20
