id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_084	25	11	7.039039456	0.639912678	0	0	11	11	0.572704907	-0.560233621	220	220	1.000000000	11	10	0.909090909	220	149	0.677272727	220	2.912115108	2.565710578	2051	1668	0.813261824	10
case_069	21	24	21.409399188	0.892058299	1	5	24	24	0.825948204	-0.813633035	480	478	0.995833333	24	18	0.750000000	478	334	0.698744770	478	2.622250352	2.090583939	4458	3478	0.780170480	18
case_064	15	24	20.145689762	0.839403740	0	0	24	24	0.814771963	-0.746099742	480	480	1.000000000	24	18	0.750000000	480	345	0.718750000	480	2.514713789	0.602271102	4493	3414	0.759848653	18
case_097	23	9	0.100152947	0.011128105	1	9	9	9	0.009652578	-0.009652578	180	179	0.994444444	9	9	1.000000000	179	136	0.759776536	179	2.750620794	2.725462445	1667	1318	0.790641872	9
case_011	22	24	10.246122085	0.426921754	1	6	24	24	0.357511873	-0.336492690	480	479	0.997916667	24	21	0.875000000	479	315	0.657620042	479	2.372445408	1.393613918	4473	3428	0.766376034	21
case_010	28	24	5.542947026	0.230956126	1	10	24	24	0.243921181	-0.170886597	480	479	0.997916667	24	22	0.916666667	479	341	0.711899791	479	2.144753172	1.444155944	4497	3548	0.788970425	22
case_041	17	24	10.009040956	0.417043373	0	0	24	24	0.331676263	-0.293126236	480	480	1.000000000	24	19	0.791666667	480	310	0.645833333	480	2.361497565	1.497227197	4480	3413	0.761830357	19
case_030	24	24	8.875858154	0.369827423	1	1	24	24	0.351268869	-0.351268171	480	480	1.000000000	24	21	0.875000000	480	319	0.664583333	480	2.822743979	1.729243025	4497	3405	0.757171448	21
case_035	25	26	16.715009016	0.642884962	1	6	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000	24
case_018	27	24	13.716262024	0.571510918	1	3	24	24	0.527372244	-0.501105921	480	479	0.997916667	24	20	0.833333333	479	327	0.682672234	479	2.322026293	0.812746336	4474	3380	0.755476084	20
case_078	29	24	18.068760276	0.752865011	1	7	24	24	0.692500357	-0.651992503	480	479	0.997916667	24	20	0.833333333	479	293	0.611691023	479	2.664717051	1.740552030	4479	3284	0.733199375	20
case_022	18	24	15.518417406	0.646600725	1	1	24	24	0.606911118	-0.536591324	480	479	0.997916667	24	18	0.750000000	479	344	0.718162839	479	2.624629123	1.750687709	4489	3544	0.789485409	18
case_066	18	24	11.042424529	0.460101022	1	4	24	24	0.381394191	-0.334634121	480	480	1.000000000	24	19	0.791666667	480	323	0.672916667	480	2.489673330	1.754991272	4495	3512	0.781312570	19
case_009	17	24	10.824187480	0.451007812	1	3	24	24	0.295734824	-0.201334734	480	480	1.000000000	24	21	0.875000000	480	326	0.679166667	480	2.059633243	1.395906428	4484	3489	0.778099911	21
case_054	24	24	14.643386579	0.610141107	1	4	24	24	0.569158897	-0.563486992	480	478	0.995833333	24	19	0.791666667	478	318	0.665271967	478	2.083152426	1.231692944	4447	3354	0.754216326	19
case_060	19	24	4.717628998	0.196567875	1	3	24	24	0.161107784	-0.107723406	480	480	1.000000000	24	22	0.916666667	480	351	0.731250000	480	2.687220202	2.339026558	4494	3540	0.787716956	22
case_037	21	24	13.371763361	0.557156807	1	2	24	24	0.542989130	-0.510419635	480	479	0.997916667	24	21	0.875000000	479	309	0.645093946	479	2.157206461	0.637014396	4468	3570	0.799015219	21
case_088	15	24	15.446696910	0.643612371	0	0	23	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000	18
case_059	25	24	21.084775780	0.878532324	1	6	24	24	0.847820128	-0.828415475	480	480	1.000000000	24	20	0.833333333	480	318	0.662500000	480	2.715685874	1.132376323	4510	3398	0.753436807	20
case_050	30	24	6.450302832	0.268762618	0	0	24	24	0.205578761	-0.161931114	480	479	0.997916667	24	22	0.916666667	479	320	0.668058455	479	1.966292684	1.146070025	4480	3400	0.758928571	22
