id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_094	18	2	0.148258432	0.074129216	1	2	2	2	0.005997878	0.005997554	40	39	0.975000000	2	2	1.000000000	39	32	0.820512821	39	1.243431034	0.275172275	357	271	0.759103641	2
case_023	16	24	8.912158886	0.371339954	1	10	24	24	0.382534349	-0.351383355	480	475	0.989583333	24	22	0.916666667	475	317	0.667368421	475	2.938131691	2.309594431	4401	3428	0.778913883	22
case_002	21	24	23.428576181	0.976190674	0	0	24	24	0.876904658	-0.729931957	480	478	0.995833333	24	18	0.750000000	478	301	0.629707113	478	2.427781085	0.342707586	4463	3340	0.748375532	18
case_042	16	24	25.047076925	1.043628205	1	2	24	24	0.950448251	-0.929555173	480	480	1.000000000	24	16	0.666666667	480	297	0.618750000	480	2.526777420	0.691799826	4498	3317	0.737438862	16
case_034	24	24	15.179507265	0.632479469	1	6	24	24	0.595985557	-0.551886637	480	479	0.997916667	24	18	0.750000000	479	324	0.676409186	479	2.010943803	0.839487630	4467	3530	0.790239534	18
case_074	17	24	5.909506231	0.246229426	1	1	24	24	0.224529660	-0.177035102	480	479	0.997916667	24	22	0.916666667	479	335	0.699373695	479	2.292470107	1.309017811	4467	3511	0.785986120	22
case_019	20	26	23.202553683	0.892405911	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000	18
case_063	17	24	19.679921583	0.819996733	1	3	24	24	0.770984393	-0.765593695	480	480	1.000000000	24	20	0.833333333	480	338	0.704166667	480	2.885230410	2.242765989	4509	3560	0.789532047	20
case_057	24	24	8.309107434	0.346212810	1	9	24	24	0.302476263	-0.292712468	480	480	1.000000000	24	22	0.916666667	480	338	0.704166667	480	1.972206328	1.077933852	4495	3338	0.742602892	22
case_072	19	24	11.002096464	0.458420686	1	8	24	24	0.401354457	-0.400984488	480	480	1.000000000	24	21	0.875000000	480	323	0.672916667	480	2.209719480	0.490769994	4482	3600	0.803212851	21
case_012	23	24	7.737855817	0.322410659	1	4	24	24	0.283969439	-0.268823845	480	480	1.000000000	24	21	0.875000000	480	341	0.710416667	480	2.282763974	1.874672569	4491	3410	0.759296371	21
case_068	21	24	8.899446890	0.370810287	1	15	24	24	0.349424166	-0.311106940	480	478	0.995833333	24	22	0.916666667	478	336	0.702928870	478	1.875841036	0.175465849	4451	3454	0.776005392	22
case_075	16	24	7.309426868	0.304559453	1	8	24	24	0.297436509	-0.245550828	480	478	0.995833333	24	21	0.875000000	478	333	0.696652720	478	2.139939984	1.621874027	4457	3470	0.778550595	21
case_008	22	24	7.727021574	0.321959232	1	3	24	24	0.287814416	-0.271458587	480	478	0.995833333	24	22	0.916666667	478	356	0.744769874	478	1.552201379	0.289453574	4466	3581	0.801836095	22
case_043	20	24	2.976067973	0.124002832	1	20	24	24	0.070432965	-0.020708175	480	480	1.000000000	24	23	0.958333333	480	329	0.685416667	480	2.047635646	0.198492264	4469	3402	0.761244126	23
case_014	24	24	14.975423422	0.623975976	0	0	24	24	0.531087477	-0.518670419	480	479	0.997916667	24	18	0.750000000	479	300	0.626304802	479	2.596211518	1.307020309	4481	3237	0.722383397	18
case_093	20	24	5.812790147	0.242199589	0	0	24	24	0.232445829	-0.133086500	480	477	0.993750000	24	22	0.916666667	477	337	0.706498952	477	2.158881861	1.127058310	4438	3479	0.783911672	22
case_044	21	24	6.755447345	0.281476973	0	0	24	24	0.200359005	-0.153143350	480	480	1.000000000	24	20	0.833333333	480	344	0.716666667	480	1.482705486	0.001144892	4499	3550	0.789064236	20
case_026	18	24	9.748696599	0.406195692	1	15	24	24	0.325037306	-0.291570478	480	478	0.995833333	24	19	0.791666667	478	357	0.746861925	478	2.103420580	1.674555366	4470	3496	0.782102908	19
case_007	17	24	8.935156217	0.372298176	1	7	24	24	0.317648010	-0.228582379	480	480	1.000000000	24	20	0.833333333	480	316	0.658333333	480	1.890117468	0.553256111	4480	3472	0.775000000	20
