id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_048	20	24	6.657117500	0.277379896	1	12	24	24	0.262828788	-0.216714590	480	478	0.995833333	24	22	0.916666667	478	349	0.730125523	478	2.251900840	1.117570057	4474	3523	0.787438534	22
case_091	16	24	31.433344438	1.309722685	1	1	24	24	1.263319055	-1.234282616	480	479	0.997916667	24	17	0.708333333	479	275	0.574112735	479	2.827922443	1.748600391	4485	3388	0.755406912	17
case_092	17	24	4.961920783	0.206746699	1	6	24	24	0.196021129	-0.164690162	480	480	1.000000000	24	22	0.916666667	480	360	0.750000000	480	2.471462676	2.199320134	4483	3597	0.802364488	22
case_067	18	24	6.425841822	0.267743409	1	3	24	24	0.242329910	-0.154247578	480	480	1.000000000	24	21	0.875000000	480	336	0.700000000	480	2.291349487	1.476601806	4492	3463	0.770926091	21
case_085	20	24	5.819555236	0.242481468	0	0	24	24	0.196828493	-0.110943473	480	480	1.000000000	24	21	0.875000000	480	355	0.739583333	480	1.753709217	0.604287521	4498	3594	0.799021787	21
case_028	19	24	11.214956847	0.467289869	0	0	24	24	0.445394455	-0.342785097	480	479	0.997916667	24	19	0.791666667	479	323	0.674321503	479	1.792472760	0.822348044	4475	3546	0.792402235	19
case_040	23	24	19.703967208	0.820998634	0	0	24	24	0.713282688	-0.687854560	480	479	0.997916667	24	20	0.833333333	479	334	0.697286013	479	1.935044235	0.887848749	4477	3479	0.777082868	20
case_055	28	24	16.458900571	0.685787524	0	0	24	24	0.667266473	-0.648704620	480	478	0.995833333	24	19	0.791666667	478	317	0.663179916	478	2.868869137	2.364585389	4465	3356	0.751623740	19
case_005	16	24	23.717125208	0.988213550	1	8	24	24	0.945835493	-0.884817153	480	480	1.000000000	24	20	0.833333333	480	318	0.662500000	480	2.597256450	1.188222011	4491	3522	0.784235137	20
case_051	23	24	12.108235755	0.504509823	1	1	24	24	0.488283045	-0.439689408	480	480	1.000000000	24	19	0.791666667	480	308	0.641666667	480	1.943172000	0.534918670	4496	3459	0.769350534	19
case_081	15	24	19.381975861	0.807582328	1	7	24	24	0.599318460	-0.583489832	480	480	1.000000000	24	16	0.666666667	480	344	0.716666667	480	2.016447758	0.936180545	4495	3481	0.774416018	16
case_070	27	24	10.377974479	0.432415603	1	5	24	24	0.405038447	-0.361051684	480	480	1.000000000	24	20	0.833333333	480	331	0.689583333	480	1.864486703	0.927907914	4494	3572	0.794837561	20
case_096	17	6	0.370423121	0.061737187	1	6	6	6	0.026527587	-0.026527587	120	116	0.966666667	6	6	1.000000000	116	78	0.672413793	116	3.159875634	2.922457426	1056	840	0.795454545	6
case_090	19	24	10.343872608	0.430994692	1	7	24	24	0.412093937	-0.386316162	480	480	1.000000000	24	22	0.916666667	480	350	0.729166667	480	2.358957661	1.265667897	4488	3554	0.791889483	22
case_086	18	24	18.535449980	0.772310416	1	6	24	24	0.650976073	-0.648094610	480	480	1.000000000	24	19	0.791666667	480	317	0.660416667	480	2.243253130	1.074215107	4500	3551	0.789111111	19
case_013	24	24	11.728109433	0.488671226	0	0	24	24	0.391698628	-0.382950299	480	477	0.993750000	24	19	0.791666667	477	285	0.597484277	477	2.513398862	1.635737707	4432	3291	0.742554152	19
case_033	17	24	5.831176994	0.242965708	1	1	24	24	0.195626905	-0.146100292	480	477	0.993750000	24	22	0.916666667	477	339	0.710691824	477	2.494079694	1.842798376	4442	3481	0.783656011	22
case_029	20	24	13.333300070	0.555554170	1	11	24	24	0.341676578	-0.304038544	480	480	1.000000000	24	19	0.791666667	480	321	0.668750000	480	1.758192716	-0.227157919	4495	3403	0.757063404	19
case_025	22	24	17.204735207	0.716863967	1	13	24	24	0.722348108	-0.673450882	480	478	0.995833333	24	21	0.875000000	478	324	0.677824268	478	2.930466505	1.650167698	4451	3471	0.779824758	21
case_062	16	24	15.254077931	0.635586580	0	0	24	24	0.617069721	-0.614979968	480	478	0.995833333	24	22	0.916666667	478	356	0.744769874	478	2.599035395	1.486096646	4457	3532	0.792461297	22
