id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_094	18	2	0.573655153	0.286827576	1	2	2	2	0.206700807	-0.206700807	40	39	0.975000000	2	2	1.000000000	39	32	0.820512821	39	1.516244956	0.403597190	357	272	0.761904762	2
case_023	16	24	9.314944486	0.388122687	1	10	24	24	0.399510890	-0.368166088	480	475	0.989583333	24	21	0.875000000	475	316	0.665263158	475	3.088185402	2.461767149	4401	3409	0.774596683	21
case_002	21	24	23.241983355	0.968415973	1	4	24	24	0.863732312	-0.722157256	480	478	0.995833333	24	20	0.833333333	478	303	0.633891213	478	2.337064987	0.446716365	4463	3297	0.738740757	20
case_042	16	24	23.266604128	0.969441839	1	2	24	24	0.861418485	-0.855368806	480	480	1.000000000	24	17	0.708333333	480	304	0.633333333	480	2.591535677	0.869381673	4498	3329	0.740106714	17
case_034	24	24	18.721862775	0.780077616	1	15	24	24	0.700379695	-0.699484783	480	479	0.997916667	24	20	0.833333333	479	313	0.653444676	479	2.181969585	1.173834388	4467	3500	0.783523618	20
case_074	17	24	5.185532619	0.216063859	1	1	24	24	0.180558284	-0.146869535	480	479	0.997916667	24	21	0.875000000	479	333	0.695198330	479	2.420353370	1.416872393	4467	3423	0.766286098	21
case_019	20	26	27.408282078	1.054164695	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000	18
case_063	17	24	17.556014978	0.731500624	1	3	24	24	0.710423973	-0.677097587	480	480	1.000000000	24	20	0.833333333	480	341	0.710416667	480	2.796468920	2.137549103	4509	3573	0.792415170	20
case_057	24	24	8.403697723	0.350154072	1	3	24	24	0.299553421	-0.296653730	480	480	1.000000000	24	21	0.875000000	480	334	0.695833333	480	1.932558002	0.963997972	4495	3369	0.749499444	21
case_072	19	24	8.309252771	0.346218865	1	8	24	24	0.289265922	-0.288782667	480	480	1.000000000	24	21	0.875000000	480	328	0.683333333	480	2.116011530	0.509493825	4482	3552	0.792503347	21
case_012	23	24	8.824811382	0.367700474	1	4	24	24	0.323269074	-0.314113660	480	480	1.000000000	24	21	0.875000000	480	338	0.704166667	480	2.272172724	1.860261661	4491	3408	0.758851035	21
case_068	21	24	8.145686247	0.339403594	1	15	24	24	0.293611567	-0.279700246	480	478	0.995833333	24	22	0.916666667	478	346	0.723849372	478	1.810795370	-0.061865940	4451	3422	0.768815996	22
case_075	16	24	7.777168845	0.324048702	1	8	24	24	0.323036710	-0.265040077	480	478	0.995833333	24	21	0.875000000	478	334	0.698744770	478	2.194974952	1.662717038	4457	3438	0.771370877	21
case_008	22	24	6.719941514	0.279997563	1	3	24	24	0.251221758	-0.229496918	480	478	0.995833333	24	22	0.916666667	478	356	0.744769874	478	1.550844411	0.345235841	4466	3563	0.797805643	22
case_043	20	24	2.622963768	0.109290157	1	10	24	24	0.106099653	-0.005995500	480	480	1.000000000	24	23	0.958333333	480	326	0.679166667	480	2.180242162	0.125040273	4469	3319	0.742671739	23
case_014	24	24	15.531182597	0.647132608	0	0	24	24	0.542453988	-0.541827052	480	479	0.997916667	24	18	0.750000000	479	309	0.645093946	479	2.606837745	1.462307154	4481	3305	0.737558581	18
case_093	20	24	6.549827022	0.272909459	1	16	24	24	0.257444439	-0.163796370	480	477	0.993750000	24	23	0.958333333	477	340	0.712788260	477	2.192417258	1.235236182	4438	3451	0.777602524	23
case_044	21	24	7.611205487	0.317133562	0	0	24	24	0.231953203	-0.188799939	480	480	1.000000000	24	20	0.833333333	480	343	0.714583333	480	1.529673764	0.027831959	4499	3538	0.786396977	20
case_026	18	24	8.836550292	0.368189596	1	15	24	24	0.289051250	-0.253564382	480	478	0.995833333	24	20	0.833333333	478	350	0.732217573	478	2.053491890	1.607200149	4470	3520	0.787472036	20
case_007	17	24	8.788739105	0.366197463	1	10	24	24	0.298347126	-0.222481666	480	480	1.000000000	24	23	0.958333333	480	324	0.675000000	480	1.779027579	0.446168420	4480	3502	0.781696429	23
