id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_053	24	24	14.544843474	0.606035145	1	2	24	24	0.496616151	-0.438778117	480	478	0.995833333	24	19	0.791666667	478	321	0.671548117	478	1.978851489	1.228630995	4464	3435	0.769489247	19
case_056	20	24	8.738844699	0.364118529	1	17	24	24	0.304239517	-0.292468372	480	479	0.997916667	24	22	0.916666667	479	319	0.665970772	479	2.352027771	1.566600675	4461	3429	0.768661735	22
case_058	26	24	5.657403028	0.235725126	1	15	24	24	0.217897864	-0.213716416	480	476	0.991666667	24	21	0.875000000	476	322	0.676470588	476	2.497899000	1.414376787	4421	3513	0.794616603	21
case_027	17	24	5.025475779	0.209394824	1	8	24	24	0.202699193	-0.129442265	480	477	0.993750000	24	22	0.916666667	477	308	0.645702306	477	2.943016271	1.649832347	4434	3440	0.775823184	22
case_065	16	24	1.624678842	0.067694952	1	14	24	24	0.064016630	-0.028577862	480	479	0.997916667	24	23	0.958333333	479	350	0.730688935	479	2.121423465	1.414026365	4473	3564	0.796780684	23
case_032	19	24	4.169272078	0.173719670	1	10	24	24	0.176833019	-0.152514576	480	479	0.997916667	24	23	0.958333333	479	358	0.747390397	479	2.029313707	1.606474311	4491	3640	0.810509909	23
case_079	21	24	7.487328178	0.311972007	1	11	24	24	0.276457613	-0.251459705	480	478	0.995833333	24	20	0.833333333	478	316	0.661087866	478	2.121991268	1.436676767	4458	3512	0.787797218	20
case_001	20	24	8.433233396	0.351384725	1	14	24	24	0.249549017	-0.249498681	480	479	0.997916667	24	20	0.833333333	479	337	0.703549061	479	1.990882590	1.137082198	4480	3477	0.776116071	20
case_031	24	24	3.758749497	0.156614562	1	3	24	24	0.142889913	-0.088599972	480	479	0.997916667	24	23	0.958333333	479	310	0.647181628	479	2.092029498	1.231199384	4479	3523	0.786559500	23
case_076	23	24	11.529494162	0.480395590	1	12	24	24	0.402383047	-0.402383046	480	478	0.995833333	24	21	0.875000000	478	325	0.679916318	478	2.307181713	1.568976070	4475	3420	0.764245810	21
case_000	20	24	17.847728237	0.743655343	1	12	24	24	0.741801070	-0.739683952	480	480	1.000000000	24	20	0.833333333	480	315	0.656250000	480	2.885478680	2.268712593	4479	3483	0.777628935	20
case_036	22	24	9.409981403	0.392082558	1	5	24	24	0.375612158	-0.375611625	480	480	1.000000000	24	22	0.916666667	480	313	0.652083333	480	2.794721321	2.280804141	4493	3434	0.764300022	22
case_020	20	24	9.833365201	0.409723550	1	6	24	24	0.341227694	-0.283898358	480	479	0.997916667	24	21	0.875000000	479	353	0.736951983	479	1.870601186	1.352020255	4468	3551	0.794762757	21
case_045	21	24	10.807291842	0.450303827	1	1	24	24	0.354026304	-0.292747017	480	479	0.997916667	24	20	0.833333333	479	320	0.668058455	479	2.092569763	0.973102848	4473	3468	0.775318578	20
case_016	21	24	7.664233078	0.319343045	1	10	24	24	0.242027996	-0.219983600	480	480	1.000000000	24	22	0.916666667	480	344	0.716666667	480	2.195363208	1.542728581	4497	3394	0.754725372	22
case_004	18	24	10.387526897	0.432813621	1	3	24	24	0.389981646	-0.389374013	480	478	0.995833333	24	19	0.791666667	478	356	0.744769874	478	1.718017415	0.699916010	4448	3560	0.800359712	19
case_071	26	24	5.961993419	0.248416392	0	0	24	24	0.256525325	-0.161529179	480	479	0.997916667	24	21	0.875000000	479	319	0.665970772	479	2.426645862	0.735572949	4480	3523	0.786383929	21
case_073	17	24	0.326533116	0.013605546	1	24	24	24	0.050834248	0.043856465	480	479	0.997916667	24	24	1.000000000	479	328	0.684759916	479	1.898784830	1.254842893	4470	3541	0.792170022	24
case_095	19	11	0.341301677	0.031027425	1	11	11	11	0.031232981	-0.002538864	220	215	0.977272727	11	11	1.000000000	215	155	0.720930233	215	1.613671529	0.456543562	1953	1534	0.785458269	11
case_099	24	15	3.052000614	0.203466708	1	10	15	15	0.200196334	-0.197765551	300	297	0.990000000	15	14	0.933333333	297	219	0.737373737	297	2.207784413	1.661514853	2755	2221	0.806170599	14
