id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_084	25	11	5.972160239	0.542923658	0	0	11	11	0.476977654	-0.463244602	220	220	1.000000000	11	10	0.909090909	220	144	0.654545455	220	3.363361693	3.070882518	2051	1676	0.817162360	10
case_069	21	24	22.297903840	0.929079327	1	5	24	24	0.868180840	-0.850654062	480	478	0.995833333	24	19	0.791666667	478	326	0.682008368	478	2.705480535	2.252667545	4458	3459	0.775908479	19
case_064	15	24	22.337262340	0.930719264	0	0	24	24	0.905710444	-0.837415266	480	480	1.000000000	24	18	0.750000000	480	338	0.704166667	480	2.512592949	0.711604756	4493	3447	0.767193412	18
case_097	23	9	0.062393666	0.006932630	1	9	9	9	0.005457102	-0.005457102	180	179	0.994444444	9	9	1.000000000	179	134	0.748603352	179	2.793339315	2.759965929	1667	1306	0.783443311	9
case_011	22	24	11.689753096	0.487073046	1	6	24	24	0.409776809	-0.396643982	480	479	0.997916667	24	19	0.791666667	479	307	0.640918580	479	2.398501784	1.138786614	4473	3455	0.772412251	19
case_010	28	24	10.810279508	0.450428313	1	10	24	24	0.427276075	-0.390358783	480	479	0.997916667	24	21	0.875000000	479	332	0.693110647	479	2.154130578	1.541168001	4497	3567	0.793195464	21
case_041	17	24	9.754986025	0.406457751	0	0	24	24	0.308083566	-0.282540614	480	480	1.000000000	24	19	0.791666667	480	317	0.660416667	480	2.230275301	1.073748931	4480	3428	0.765178571	19
case_030	24	24	8.427228377	0.351134516	1	1	24	24	0.333557294	-0.332575264	480	480	1.000000000	24	21	0.875000000	480	323	0.672916667	480	2.691009922	1.638347189	4497	3472	0.772070269	21
case_035	25	26	15.944446890	0.613247957	1	6	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000	24
case_018	27	24	12.944125085	0.539338545	1	3	24	24	0.495194267	-0.468933549	480	479	0.997916667	24	20	0.833333333	479	318	0.663883090	479	2.311540269	0.645703585	4474	3360	0.751005811	20
case_078	29	24	15.767758889	0.656989954	1	7	24	24	0.606973475	-0.556117445	480	479	0.997916667	24	19	0.791666667	479	303	0.632567850	479	2.626075051	1.351407523	4479	3248	0.725161866	19
case_022	18	24	21.099044502	0.879126854	1	1	24	24	0.839997455	-0.769117453	480	479	0.997916667	24	18	0.750000000	479	335	0.699373695	479	2.797407946	1.890569539	4489	3551	0.791044776	18
case_066	18	24	10.715962727	0.446498447	1	4	24	24	0.370609786	-0.321031546	480	480	1.000000000	24	19	0.791666667	480	320	0.666666667	480	2.509438048	1.818481921	4495	3492	0.776863181	19
case_009	17	24	11.427810659	0.476158777	1	3	24	24	0.342268434	-0.226485700	480	480	1.000000000	24	20	0.833333333	480	325	0.677083333	480	2.072791672	1.353162871	4484	3485	0.777207850	20
case_054	24	24	14.890379096	0.620432462	1	4	24	24	0.581275293	-0.573778347	480	478	0.995833333	24	19	0.791666667	478	325	0.679916318	478	2.132598869	1.207732140	4447	3371	0.758039128	19
case_060	19	24	4.676692325	0.194862180	1	3	24	24	0.161557152	-0.106017711	480	480	1.000000000	24	22	0.916666667	480	348	0.725000000	480	2.615331477	2.320823775	4494	3574	0.795282599	22
case_037	21	24	13.546152818	0.564423034	1	2	24	24	0.542821508	-0.517685862	480	479	0.997916667	24	21	0.875000000	479	312	0.651356994	479	2.186471035	0.639533862	4468	3613	0.808639212	21
case_088	15	24	12.135024154	0.505626006	0	0	23	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000	21
case_059	25	24	20.773190173	0.865549591	1	6	24	24	0.830525923	-0.815432741	480	480	1.000000000	24	20	0.833333333	480	320	0.666666667	480	2.599208084	1.173975756	4510	3391	0.751884701	20
case_050	30	24	7.557853660	0.314910569	0	0	24	24	0.301427154	-0.208079066	480	479	0.997916667	24	21	0.875000000	479	298	0.622129436	479	2.257627908	1.394319190	4480	3368	0.751785714	21
