id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate	target_top1_correct
case_049	21	24	3.113061992	0.129710916	1	22	24	24	0.133358864	-0.101923215	480	480	1.000000000	24	23	0.958333333	480	337	0.702083333	480	1.848014267	0.723293304	4498	3548	0.788795020	23
case_046	21	24	6.524138209	0.271839092	1	17	24	24	0.260862296	-0.227500718	480	479	0.997916667	24	21	0.875000000	479	333	0.695198330	479	2.422413532	1.179926265	4480	3472	0.775000000	21
case_006	20	24	1.614444160	0.067268507	0	0	24	24	0.059003092	-0.044788289	480	479	0.997916667	24	23	0.958333333	479	346	0.722338205	479	2.187592179	1.524239777	4477	3512	0.784453875	23
case_021	20	24	5.605573807	0.233565575	1	5	24	24	0.211693875	-0.153198209	480	480	1.000000000	24	22	0.916666667	480	334	0.695833333	480	2.308993879	1.661622302	4486	3612	0.805171645	22
case_003	21	24	10.947220601	0.456134192	1	3	24	24	0.433147180	-0.429779725	480	480	1.000000000	24	21	0.875000000	480	337	0.702083333	480	2.094213574	0.737257645	4501	3515	0.780937569	21
case_080	15	24	11.115735050	0.463155627	1	6	24	24	0.313891930	-0.283366283	480	480	1.000000000	24	18	0.750000000	480	350	0.729166667	480	1.790485888	0.832017376	4493	3541	0.788114845	18
case_015	23	24	17.205642739	0.716901781	1	2	24	24	0.707895528	-0.667681929	480	480	1.000000000	24	21	0.875000000	480	321	0.668750000	480	2.532417295	0.920025087	4486	3453	0.769728043	21
case_061	19	24	7.035560671	0.293148361	1	11	24	24	0.325464079	-0.245905419	480	480	1.000000000	24	23	0.958333333	480	354	0.737500000	480	2.440242696	1.236579719	4502	3588	0.796979120	23
case_089	15	24	11.260954527	0.469206439	0	0	24	24	0.455911976	-0.411171198	480	479	0.997916667	24	20	0.833333333	479	349	0.728601253	479	2.703679299	2.312293263	4470	3437	0.768903803	20
case_087	14	24	8.886054129	0.370252255	1	14	24	24	0.370240196	-0.364904874	480	480	1.000000000	24	22	0.916666667	480	351	0.731250000	480	2.622165577	2.242163138	4493	3523	0.784108613	22
case_047	18	24	12.349494958	0.514562290	1	4	24	24	0.397489753	-0.335602326	480	477	0.993750000	24	19	0.791666667	477	309	0.647798742	477	2.300128905	1.337009779	4419	3411	0.771894094	19
case_082	18	24	14.998261168	0.624927549	0	0	24	24	0.548041951	-0.513959142	480	479	0.997916667	24	19	0.791666667	479	324	0.676409186	479	1.851752465	0.839093521	4491	3462	0.770875084	19
case_024	17	24	10.437559012	0.434898292	1	9	24	24	0.277330952	-0.256978629	480	479	0.997916667	24	19	0.791666667	479	348	0.726513570	479	2.012214502	0.546713815	4459	3443	0.772146221	19
case_038	27	24	10.770646848	0.448776952	1	7	24	24	0.388641497	-0.356313095	480	479	0.997916667	24	21	0.875000000	479	294	0.613778706	479	2.091470808	0.810214802	4476	3291	0.735254692	21
case_098	22	9	0.120141517	0.013349057	1	9	9	9	0.012924962	-0.012618660	180	179	0.994444444	9	9	1.000000000	179	134	0.748603352	179	2.320584392	1.768392734	1667	1265	0.758848230	9
case_052	21	24	11.802407126	0.491766964	1	10	24	24	0.485620868	-0.338010240	480	477	0.993750000	24	23	0.958333333	477	312	0.654088050	477	2.452226841	1.009547846	4447	3366	0.756914774	23
case_017	29	24	6.991487241	0.291311968	1	8	24	24	0.246124711	-0.242828322	480	477	0.993750000	24	21	0.875000000	477	319	0.668763103	477	2.424231417	1.941506452	4437	3358	0.756817670	21
case_077	26	24	10.936282596	0.455678442	1	11	24	24	0.386148380	-0.374063633	480	480	1.000000000	24	20	0.833333333	480	340	0.708333333	480	2.481413585	1.386474754	4489	3393	0.755847628	20
case_083	21	24	7.926160591	0.330256691	1	13	24	24	0.234332984	-0.232757052	480	480	1.000000000	24	20	0.833333333	480	342	0.712500000	480	2.229904001	1.733781663	4470	3636	0.813422819	20
case_039	24	24	12.816765436	0.534031893	1	10	24	24	0.478083512	-0.430178197	480	480	1.000000000	24	20	0.833333333	480	299	0.622916667	480	2.006368325	0.471189245	4505	3293	0.730965594	20
